timestamp_coleta,mercado,ticker,ticker_yf,candle_time,open_1h,high_1h,low_1h,close_1h,volume_1h,last_price,previous_close,open_day,day_high,day_low,day_volume,market_cap,fifty_day_avg,two_hundred_day_avg,year_high,year_low,currency,exchange,short_name,sector,industry,country,beta,trailing_pe,forward_pe,price_to_book,dividend_yield,payout_ratio,bid,ask,regular_mkt_volume,avg_volume,avg_volume_10d,shares_outstanding,float_shares,book_value,profit_margins,ebitda_margins,operating_margins,gross_margins,return_on_assets,return_on_equity,revenue_growth,earnings_growth,target_mean_price,recommendation,recommendation_mean
2026-04-14 16:05:04,B3,SLCE3,SLCE3.SA,2026-04-14 15:00:00,19.09000015258789,19.260000228881836,19.079999923706055,19.260000228881836,601500.0,19.260000228881836,19.06999969482422,19.190000534057617,19.479999542236328,19.06999969482422,3237800.0,9568610231.171373,17.12699977874756,15.563005185127258,19.139999389648438,13.84000015258789,BRL,SAO,SLC AGRICOLAON      NM,Consumer Defensive,Farm Products,Brazil,0.316,17.196428,9.144518,1.9018466,6.76,1.1533,19.24,19.25,3237800.0,2657006.0,3413770.0,496812571.0,170762263.0,10.127,0.064959995,0.26997,0.026870001,0.34244,0.06277,0.11582,0.15,,19.70909,hold,2.81818
2026-04-14 16:05:04,B3,TIMS3,TIMS3.SA,2026-04-14 15:00:00,27.200000762939453,27.270000457763672,27.149999618530273,27.209999084472656,751200.0,27.209999084472656,27.290000915527344,27.299999237060547,27.600000381469727,27.149999618530273,4715800.0,64995662854.728836,26.806400032043456,23.845650005340577,28.739999771118164,17.270000457763672,BRL,SAO,TIM         ON      NM,Communication Services,Telecom Services,Brazil,0.299,15.286516,12.279656,2.7106993,9.54,1.4117999,27.21,27.22,4715800.0,6159320.0,4740850.0,2388668322.0,2388261815.0,10.038,0.16194999,0.41569,0.27545,0.53928,0.0735,0.17117001,0.044,0.291,28.31429,buy,2.42857
2026-04-14 16:05:04,B3,TOTS3,TOTS3.SA,2026-04-14 15:00:00,35.209999084472656,35.2400016784668,34.68000030517578,34.709999084472656,328400.0,34.709999084472656,34.540000915527344,34.86000061035156,35.56999969482422,34.58000183105469,2278900.0,20300991936.42144,37.01720008850098,41.915899982452395,48.400001525878906,33.02000045776367,BRL,SAO,TOTVS       ON      NM,Technology,Software - Application,Brazil,0.545,24.617022,15.5650215,3.9951658,1.88,0.4335,34.7,34.71,2278900.0,5117571.0,3458890.0,579848243.0,485228645.0,8.688,0.1545,0.2208,0.21545,0.70264,0.075840004,0.16139999,0.151,0.429,51.75385,none,
2026-04-14 16:05:04,B3,UGPA3,UGPA3.SA,2026-04-14 15:00:00,30.100000381469727,30.149999618530273,30.010000228881836,30.040000915527344,373200.0,30.049999237060547,30.559999465942383,30.700000762939453,30.729999542236328,29.889999389648438,3001000.0,32116457150.595245,27.248000068664552,21.936749958992003,30.610000610351562,15.579999923706055,BRL,SAO,ULTRAPAR    ON      NM,Energy,Oil & Gas Refining & Marketing,Brazil,0.417,12.78298,11.482435,2.049253,5.73,0.7443,30.04,30.05,3000900.0,6654371.0,6220860.0,1068767319.0,645872968.0,14.659,0.017239999,0.04482,0.03091,0.06574,0.06954,0.16381,0.072,-0.595,29.0375,buy,2.25
2026-04-14 16:05:04,B3,VALE3,VALE3.SA,2026-04-14 15:00:00,88.06999969482422,88.27999877929688,88.02999877929688,88.08999633789062,1332300.0,88.08000183105469,87.2300033569336,87.5,88.54000091552734,87.18000030517578,12752800.0,384479407040.20575,83.55019989013672,67.74239999771117,91.62000274658203,49.720001220703125,BRL,SAO,VALE        ON  ATZ NM,Basic Materials,Other Industrial Metals & Mining,Brazil,0.889,32.02909,7.9665065,2.0401168,7.89,2.0855,88.08,88.1,12752800.0,27859686.0,20340355.0,4365115781.0,3967404263.0,43.174,0.06467,0.35986,0.27639,0.34976003,0.077870004,0.05867,0.005,,87.6609,buy,2.15385
2026-04-14 16:05:04,B3,VIVT3,VIVT3.SA,2026-04-14 15:00:00,41.470001220703125,41.4900016784668,41.29999923706055,41.459999084472656,481700.0,41.459999084472656,41.88999938964844,42.25,42.41999816894531,41.29999923706055,3201500.0,132489836469.715,40.85340019226074,35.13795009613037,43.470001220703125,25.270000457763672,BRL,SAO,TELEF BRASILON,Communication Services,Telecom Services,Brazil,0.41,21.706806,12.93055,1.9279238,5.52,0.52889997,41.46,41.47,3201500.0,5307906.0,3972500.0,3195606352.0,705206410.0,21.505,0.1035,0.32474998,0.19459,0.48099998,0.05242,0.08901,0.071,0.093,39.86429,buy,2.35714
2026-04-14 16:05:04,B3,VVAR3,VVAR3.SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-14 16:05:04,B3,WEGE3,WEGE3.SA,2026-04-14 15:00:00,51.7599983215332,52.11000061035156,51.75,51.939998626708984,781100.0,51.95000076293945,52.27000045776367,52.290000915527344,52.349998474121094,50.59000015258789,8787900.0,217973355648.614,49.864600067138674,43.67599988937378,54.529998779296875,35.25,BRL,SAO,WEG         ON      NM,Industrials,Electrical Equipment & Parts,Brazil,0.047,34.17763,26.55306,12.515057,0.77,1.1888,51.99,52.0,8787900.0,7763216.0,7442311.0,4195829691.0,1485947686.0,4.151,0.15626,0.21486,0.19398001,0.3353,0.11845,0.32514998,-0.053,-0.063,54.47143,hold,2.57143
2026-04-14 16:05:04,B3,XPBR31,XPBR31.SA,2026-04-14 15:00:00,105.48999786376953,105.66999816894531,104.83999633789062,105.37999725341797,233581.0,105.37999725341797,101.30000305175781,101.55000305175781,105.94999694824219,101.55000305175781,1075446.0,54518063270.48304,102.66720031738281,98.27505004882812,119.37000274658203,79.30000305175781,BRL,SAO,XP INC      DR1,Financial Services,Capital Markets,Cayman Islands,1.276,10.841563,8.506193,2.3215544,0.98,0.102299996,105.32,105.38,1075446.0,1056250.0,953131.0,416451545.0,415067863.0,45.392,0.29088,0.0,0.31500998,0.69263,0.0139,0.23715,0.133,0.141,142.0,buy,2.0
2026-04-14 16:05:04,Global,005930.KS,005930.KS,2026-04-14 02:00:00,208750.0,209000.0,207000.0,207000.0,2394714.0,206500.0,201000.0,208000.0,210000.0,205500.0,23672078.0,1362556075695500.0,185969.0,115787.43718592965,223000.0,53700.0,KRW,KSC,SamsungElec,Technology,Consumer Electronics,South Korea,1.211,,7.1882157,,1.13,0.2526,0.0,0.0,0.0,31084868.0,29740321.0,5795963304.0,5456638254.0,,0.13267,0.26756,0.21322,0.39379,0.0504,0.10783,0.238,1.622,239873.48,none,
